Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
6, 10, 1, 10.60, 12061945, 74310221, 2471289, 0, 0, MSG_SUCCESS, 
6, 11, 1, 10.60, 12063639, 74312683, 2474465, 0, 0, MSG_SUCCESS, 
6, 12, 1, 10.60, 12064405, 74311827, 2477981, 0, 0, MSG_SUCCESS, 
6, 13, 1, 10.60, 12069163, 74322965, 2480231, 0, 0, MSG_SUCCESS, 
6, 14, 1, 10.60, 12071303, 74316861, 2482837, 0, 0, MSG_SUCCESS, 
6, 15, 1, 10.60, 12076253, 74317717, 2485335, 0, 0, MSG_SUCCESS, 
6, 16, 1, 10.60, 12078937, 74325855, 2489101, 0, 0, MSG_SUCCESS, 
6, 17, 1, 10.60, 12081171, 74324463, 2493331, 0, 0, MSG_SUCCESS, 
6, 18, 1, 10.60, 12084845, 74323499, 2496633, 0, 0, MSG_SUCCESS, 
6, 19, 1, 10.60, 12086569, 74333673, 2500219, 0, 0, MSG_SUCCESS, 
7, 0, 1, 9.40, 12088295, 74343311, 2503665, 72.70464, 49, MSG_HR_READY, 
7, 1, 1, 9.40, 12098323, 74345023, 2507145, 72.70464, 49, MSG_HR_READY, 
7, 2, 1, 9.40, 12089347, 74344703, 2510375, 72.70464, 49, MSG_HR_READY, 
7, 3, 1, 9.40, 12094809, 74349735, 2512623, 72.70464, 49, MSG_HR_READY, 
7, 4, 1, 9.40, 12095193, 74348879, 2514961, 72.70464, 49, MSG_HR_READY, 
7, 5, 1, 9.40, 12100271, 74361621, 2517979, 72.70464, 49, MSG_HR_READY, 
7, 6, 1, 9.40, 12102379, 74357659, 2518353, 72.70464, 49, MSG_HR_READY, 
7, 7, 1, 9.40, 12105317, 74352841, 2521227, 72.70464, 49, MSG_HR_READY, 
7, 8, 1, 9.40, 12107201, 74357339, 2522815, 72.70464, 49, MSG_HR_READY, 
7, 9, 1, 9.40, 12111257, 74364085, 2525135, 72.70464, 49, MSG_HR_READY, 
7, 10, 1, 9.40, 12114355, 74365905, 2528757, 72.70464, 49, MSG_HR_READY, 
7, 11, 1, 9.40, 12119209, 74356803, 2530399, 72.70464, 49, MSG_HR_READY, 
7, 12, 1, 9.40, 12119689, 74361621, 2533255, 72.70464, 49, MSG_HR_READY, 
7, 13, 1, 9.40, 12120871, 74348557, 2536379, 72.70464, 49, MSG_HR_READY, 
7, 14, 1, 9.40, 12124065, 74361729, 2538413, 72.70464, 49, MSG_HR_READY, 
7, 15, 1, 9.40, 12121317, 74354447, 2540769, 72.70464, 49, MSG_HR_READY, 
7, 16, 1, 9.40, 12121669, 74352733, 2542875, 72.70464, 49, MSG_HR_READY, 
7, 17, 1, 9.40, 12116463, 74330245, 2543767, 72.70464, 49, MSG_HR_READY, 
7, 18, 1, 9.40, 12112151, 74319109, 2543821, 72.70464, 49, MSG_HR_READY, 
7, 19, 1, 9.40, 12105637, 74300369, 2544053, 72.70464, 49, MSG_HR_READY, 
8, 0, 1, 9.30, 12094235, 74279809, 2542555, 72.70464, 49, MSG_HR_READY, 
8, 1, 1, 9.30, 12090465, 74243079, 2540787, 72.70464, 49, MSG_HR_READY, 
8, 2, 1, 9.30, 12068653, 74207313, 2537093, 72.70464, 49, MSG_HR_READY, 
8, 3, 1, 9.30, 12056357, 74174973, 2533131, 72.70464, 49, MSG_HR_READY, 
8, 4, 1, 9.30, 12047765, 74140813, 2527813, 72.70464, 49, MSG_HR_READY, 
8, 5, 1, 9.30, 12040323, 74112863, 2522601, 72.70464, 49, MSG_HR_READY, 
8, 6, 1, 9.30, 12029849, 74071315, 2517193, 72.70464, 49, MSG_HR_READY, 
8, 7, 1, 9.30, 12021545, 74048933, 2512803, 72.70464, 49, MSG_HR_READY, 
8, 8, 1, 9.30, 12014359, 74014239, 2507947, 72.70464, 49, MSG_HR_READY, 
8, 9, 1, 9.30, 12008641, 73993571, 2504147, 72.70464, 49, MSG_HR_READY, 
